id,subject,question,similar_question,similarity_score,approach_summary,conceptual,structural,difficulty,transferability,overall,rationale,provider_used,model_used
006d7,Mathematics,"माना A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$, जहाँ i = √-1 है। तो समुच्चय { n ∈ {1,2,......,100} : $A^n$ = A} में अवयवों की संख्या है _______

The image shows a mathematical expression defining a matrix A and a set condition. The matrix A is a 2x2 matrix with elements 1+i, 1, -i, and 0, where i is defined as the square root of -1. The problem asks to find the number of elements in the set of n belonging to {1, 2, ..., 100} such that A to the power of n equals A.","Let A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$ where I = $\sqrt{-1}$. Then, the number of elements in the set {n$\in$ {1,2, ....., 100} : $A^n$ = A} is",0.981,"The solution calculates $A^2$ and $A^4$. It finds that $A^4 = I$ (identity matrix). Consequently, $A^5 = A, A^9 = A$, and so on. The values of n for which $A^n = A$ form an arithmetic progression: n = 1, 5, 9, ..., 97. The number of terms in this sequence is then calculated, which gives the number of elements in the set.",4,4,4,4,4.0,"The questions are identical in all mathematical aspects, differing only in the language of the surrounding text (Hindi vs. English).",google,gemini-2.5-flash
006d7,Mathematics,"माना A = $\begin{pmatrix} 1+i & 1 \ -i & 0 \end{pmatrix}$, जहाँ i = √-1 है। तो समुच्चय { n ∈ {1,2,......,100} : $A^n$ = A} में अवयवों की संख्या है _______

The image shows a mathematical expression defining a matrix A and a set condition. The matrix A is a 2x2 matrix with elements 1+i, 1, -i, and 0, where i is defined as the square root of -1. The problem asks to find the number of elements in the set of n belonging to {1, 2, ..., 100} such that A to the power of n equals A.","Let $$A = \left( {\matrix{
   {1 + i} & 1  \cr 
   { - i} & 0  \cr 

 } } \right)$$ where $$i = \sqrt { - 1} $$. Then, the number of elements in the set { n $$\in$$ {1, 2, ......, 100} : A n = A } is ____________.",0.98,"First, the solution calculates A^2 and A^4. It finds that A^4 equals the identity matrix I. Consequently, A^5 = A, A^9 = A, and so on. The values of n for which A^n = A are 1, 5, 9, ..., 97. The number of such values of n is 25.",4,4,4,4,4.0,"The questions are virtually identical. The only differences are minor formatting variations in LaTeX rendering of the matrix and the set notation, which do not alter the mathematical content or challenge.",google,gemini-2.5-flash
00b31,Mathematics,अवकल सभीकरण $(x\sqrt{1+y^2}) dx + (y\sqrt{1+x^2})dy=0$ का हल है :,"Question Text::
            x (y2 + 1) dx + y (x² + 1) dy = 0

            
            {""goemetric_relationships"":[],""labels_and_symbols"":[],""spatial_arrangements"":[]}",0.9876,"The solution uses the variable separable method to solve the differential equation. First, the variables are separated to have x terms on one side and y terms on the other. Then, both sides are integrated, using substitution to solve the integrals. The logarithmic terms are simplified and combined using logarithm properties. Finally, the equation is converted from logarithmic to algebraic form by exponentiating both sides, resulting in the general solution.",3,3,3,3,3.0,"Both are first-order separable ordinary differential equations. The core method (separation of variables and integration) is the same, but the specific functions to integrate (sqrt(1+x^2) vs. (1+x^2)) lead to different integration techniques, resulting in slightly different difficulty.",google,gemini-2.5-flash
00b31,Mathematics,अवकल सभीकरण $(x\sqrt{1+y^2}) dx + (y\sqrt{1+x^2})dy=0$ का हल है :,"The solution of the differential equation
 x dy + y dx - \sqrt{1-x^{2}y^{2}}dx = 0 is",0.9886,"The given differential equation is solved by rearranging the terms and integrating. First, the equation is rewritten as \( \frac{xdy+ydx}{\sqrt{1-x^{2}y^{2}}} = dx \). Noticing that \( xdy + ydx = d(xy) \), the equation becomes \( \frac{d(xy)}{\sqrt{1-(xy)^{2}}} = dx \). Both sides are then integrated, yielding \( sin^{-1}(xy) = x + c \). Finally, solving for \( xy \), we get the solution \( xy = sin(x + c) \).",2,2,2,1,2.0,"Both are first-order ordinary differential equations, but the first is clearly separable while the second involves the differential of a product (d(xy)) and a square root term, suggesting a different solution approach (e.g., exact or substitution) and thus different difficulty.",google,gemini-2.5-flash
0159a,Mathematics,"If \(y = 1 + \frac{x_1}{x - x_1} + \frac{x_2 \cdot x}{(x - x_1)(x - x_2)} + \frac{x_3 \cdot x^2}{(x - x_1)(x - x_2)(x - x_3)} + \dots \) upto \((n + 1)\) terms then prove that \(\frac{dy}{dx} = \frac{y}{x} \left[ \frac{x_1}{x_1 - x} + \frac{x_2}{x_2 - x} + \frac{x_3}{x_3 - x} + \dots + \frac{x_n}{x_n - x} \right]\)

The image shows a mathematical expression involving a series. The expression starts with 'If y = 1 +', followed by a series of terms. The general form of each term in the series is a fraction where the numerator involves a product of 'x' terms with subscripts (e.g., x1, x2, x3) and powers of 'x', and the denominator involves a product of differences of the form '(x - xi)', where 'i' is an index. The series continues up to (n+1) terms. Following this series, there is an expression to prove, which involves the derivative of 'y' with respect to 'x' (dy/dx). This expression equates dy/dx to a product of 'y/x' and a sum of fractions. Each fraction in the sum has a numerator of the form 'xi' and a denominator of the form 'xi - x', where 'i' ranges from 1 to n.","If f (x) = x^{n}, then the value of
f(1) + \frac{f^{1}(1)}{1} + \frac{f^{2}(1)}{2!} + \dots + \frac{f^{n}(1)}{n!}, where f^{r}(x) denotes the r^{th}
order derivative of f(x) with respect to x, is",0.9678,"The approach involves finding the derivatives of f(x) = xⁿ, then evaluating these derivatives at x=1. After this, substitute these values into the given expression. Recognize that the resulting expression is the binomial expansion of (1+1)ⁿ, which simplifies to 2ⁿ.",1,0,2,0,1.0,"Both involve derivatives and series, but the first is a proof of a derivative identity for a complex rational function series, while the second is evaluating a specific Taylor series sum for a simple polynomial function. Their structures and solution methods are entirely different.",google,gemini-2.5-flash
0159a,Mathematics,"If \(y = 1 + \frac{x_1}{x - x_1} + \frac{x_2 \cdot x}{(x - x_1)(x - x_2)} + \frac{x_3 \cdot x^2}{(x - x_1)(x - x_2)(x - x_3)} + \dots \) upto \((n + 1)\) terms then prove that \(\frac{dy}{dx} = \frac{y}{x} \left[ \frac{x_1}{x_1 - x} + \frac{x_2}{x_2 - x} + \frac{x_3}{x_3 - x} + \dots + \frac{x_n}{x_n - x} \right]\)

The image shows a mathematical expression involving a series. The expression starts with 'If y = 1 +', followed by a series of terms. The general form of each term in the series is a fraction where the numerator involves a product of 'x' terms with subscripts (e.g., x1, x2, x3) and powers of 'x', and the denominator involves a product of differences of the form '(x - xi)', where 'i' is an index. The series continues up to (n+1) terms. Following this series, there is an expression to prove, which involves the derivative of 'y' with respect to 'x' (dy/dx). This expression equates dy/dx to a product of 'y/x' and a sum of fractions. Each fraction in the sum has a numerator of the form 'xi' and a denominator of the form 'xi - x', where 'i' ranges from 1 to n.","Let $f_1(x) = e^x$ and $f_{n+1}(x) = e^{f_n(x)}$ for any $n \ge 1, n \in N$. Then for any fixed n, the value of $\frac{d}{dx}f_n(x)$ equals:",0.9632,"The approach involves recognizing a recursively defined function $f_n(x)$ where $f_1(x) = e^x$ and $f_{n+1}(x) = e^{f_n(x)}$. We find the derivative of $f_n(x)$ with respect to $x$ for $n = 1, 2, 3$ to identify a pattern. For $n=1$, the derivative is simply $e^x = f_1(x)$. For $n=2$ and $n=3$, we apply the chain rule and express the derivatives in terms of the function itself. Based on the pattern observed for $n=1, 2, 3$, we generalize the formula for the derivative of $f_n(x)$ as the product of $f_n(x), f_{n-1}(x), \dots, f_1(x)$.",1,0,2,0,1.0,"Both involve derivatives of complex functions, but the first is a proof involving a series, while the second requires finding the derivative of a recursively defined nested exponential function. The types of functions and the required solution strategies are vastly different.",google,gemini-2.5-flash
015c4,Physics,"A river has width 0.5 km and flows from West to East with a speed 30 km/hr. If a boatman starts sailing boat at a speed 40 km/hr normal to bank, the boat shall cross the river in time -

The problem describes a river with a width of 0.5 km flowing from West to East at a speed of 30 km/hr. A boatman starts sailing a boat at a speed of 40 km/hr normal to the bank.","A boat crosses a river from port A to port B, which are just on the opposite side. The speed of the water is $V_W$ and that of boat is $V_B$ relative to still water. Assume $V_B = 2V_W$. What is the time taken by the boat, if it has to cross the river directly on the AB line ?",0.9747,"The boat needs to travel from point A to point B directly across the river. The speed of the boat is \(V_B\), and the speed of the water is \(V_W\). Given that \(V_B = 2V_W\), the boat must travel at an angle \(\theta\) such that \(V_B \sin(\theta) = V_W\). From this relationship, we find \(\theta = 30^\circ\). The time \(t\) taken to cross the river is the distance \(D\) divided by the component of the boat's velocity in the direction from A to B, which is \(V_B \cos(\theta)\). Substituting \(\theta = 30^\circ\), we get \(t = \frac{D}{V_B \cos(30^\circ)} = \frac{2D}{V_B \sqrt{3}}\) ",3,2,2,2,2.5,"Both are river-boat problems applying relative velocity. The first asks for time when the boat heads normal to the bank (direct calculation). The second asks for time when crossing directly, implying an angled boat heading to counteract the current, making it slightly more complex in setup and calculation.",google,gemini-2.5-flash
015c4,Physics,"A river has width 0.5 km and flows from West to East with a speed 30 km/hr. If a boatman starts sailing boat at a speed 40 km/hr normal to bank, the boat shall cross the river in time -

The problem describes a river with a width of 0.5 km flowing from West to East at a speed of 30 km/hr. A boatman starts sailing a boat at a speed of 40 km/hr normal to the bank.",A boat which has a speed of 5 km/h in still water crosses a river of width 1 km along the shortest possible path in 15 min. The speed of the river water in km/h is:,0.9748,"The problem is solved using the concept of relative velocity. First, the velocity of boat is calculated using the formula \( V_b = \frac{y}{t} \), where y is the width of the river and t is the time taken to cross the river. Then river velocity \( V_r \) is calculated using \( V_r = \sqrt{(V_{br})^2 - (V_b)^2} \), where \( V_{br} \) is the velocity of the boat with respect to the river.",3,2,2,2,2.5,"Both are river-boat problems involving relative velocity. The first asks for time given speeds and a normal-to-bank heading. The second asks for river speed given boat speed, width, and time for the 'shortest path' (crossing directly), which requires an inverse calculation involving vector components.",google,gemini-2.5-flash
01a13,Chemistry,1.0 mol of Fe reacts completely with 0.65 mol of O₂ to give a mixture of only FeO and Fe₂O₃. The mole ratio of ferrous oxide to ferric oxide is,The compound formed when 1.95 moles of oxygen combine with 1.46 moles of iron is :,0.9598,"To determine the compound formed by the combination of iron and oxygen, the mole ratio between iron and oxygen is analyzed. Given 1.46 moles of iron and 1.95 moles of oxygen, the ratio is examined to find a simple whole number ratio. By scaling the given ratio, it is found that 3 moles of iron combine with approximately 4 moles of oxygen. Therefore, the formula of the iron oxide compound is determined to be $Fe_3O_4$.",2,1,2,1,1.5,"Both are stoichiometry problems involving iron and oxygen. However, the first involves a mixture of two products from limited reactants, requiring simultaneous equations. The second asks for the formula of a single compound formed, which is a simpler mole ratio calculation.",google,gemini-2.5-flash
01a13,Chemistry,1.0 mol of Fe reacts completely with 0.65 mol of O₂ to give a mixture of only FeO and Fe₂O₃. The mole ratio of ferrous oxide to ferric oxide is,The number of moles of $F{e_2}{O_3}$ formed when 0.5 moles of O${_2}$ and 0.5 moles of Fe are allowed to react are,0.9548,"The problem is based on the concept of limiting reagent. First, the balanced chemical equation is written. Then, by using the given number of moles of reactants, the limiting reagent is identified. Here, $Fe$ is the limiting reagent. Finally, the amount of $F{e_2}{O_3}$ formed from the given amount of limiting reagent is calculated using stoichiometry.",2,1,2,1,1.5,"Both are stoichiometry problems involving iron and oxygen. The first involves forming a mixture of two products, requiring a more complex setup. The second is a standard limiting reactant problem for a single product, Fe2O3, which is a different and generally less complex problem type.",google,gemini-2.5-flash
